reference_area,time_period,observation_value
Djibouti,2002,43.932959999999994
Djibouti,2004,56.88756
Djibouti,2005,62.39228
Djibouti,2008,76.03549000000001
Dominica,1999,231.47781
Dominica,2000,251.65771999999998
Dominica,2001,245.56239
Dominica,2003,263.48407
Dominica,2004,267.51876000000004
Dominica,2005,264.79954
Dominica,2006,231.24124
Dominica,2009,230.31042
Dominica,2010,240.69441
Dominica,2011,236.93112
Dominican Republic,1999,117.14701
Dominican Republic,2000,119.7908
Dominican Republic,2002,150.21963
Dominican Republic,2004,147.45192
Dominican Republic,2005,156.84399000000002
Dominican Republic,2007,182.10698000000002
Dominican Republic,2008,177.57432
Dominican Republic,2009,187.50006
Dominican Republic,2010,186.06739
Dominican Republic,2011,185.14384
Dominican Republic,2012,187.57331
Dominican Republic,2013,192.7935
Dominican Republic,2014,196.48247
Ecuador,1998,139.08449000000002
Ecuador,1999,142.07465
Ecuador,2000,143.67134
Ecuador,2001,145.79471
Ecuador,2002,149.67849
Ecuador,2003,149.51483
Ecuador,2004,151.81724
Ecuador,2005,158.95353
Ecuador,2006,163.32659
Ecuador,2007,168.22678000000002
Ecuador,2010,209.75848000000002
Ecuador,2011,212.3761
Ecuador,2012,218.57996
Ecuador,2013,247.61290000000002
Egypt,1994,192.77598
Egypt,2011,230.02952
Egypt,2014,245.60460999999998
El Salvador,2000,144.22083
El Salvador,2001,148.48473
El Salvador,2002,159.97684
El Salvador,2005,174.10225
El Salvador,2006,171.79885000000002
El Salvador,2007,173.28893
El Salvador,2008,176.93164
El Salvador,2009,182.68596
El Salvador,2010,191.36871
El Salvador,2011,199.35859999999997
El Salvador,2012,205.8993
El Salvador,2013,208.63344
El Salvador,2014,210.52967999999998
Equatorial Guinea,1999,73.11708
Equatorial Guinea,2001,22.18517
Equatorial Guinea,2005,64.11127
Eritrea,1994,31.769019999999998
Eritrea,1995,34.15266
Eritrea,1997,39.92057
Eritrea,1999,49.45404
Eritrea,2000,55.21888
Eritrea,2001,54.55248
Eritrea,2002,56.086569999999995
Eritrea,2003,57.82348
Eritrea,2004,62.762609999999995
Eritrea,2005,67.78679
Eritrea,2006,72.36052
Eritrea,2007,74.69391999999999
Eritrea,2008,78.92182
Eritrea,2009,84.92517000000001
Eritrea,2010,91.67497
Eritrea,2011,92.78998
Eritrea,2012,94.87477
Eritrea,2013,85.75727
Estonia,1998,251.37137
Estonia,1999,251.98817000000003
Estonia,2000,255.39801
Estonia,2001,257.50542
Estonia,2002,265.39222
Estonia,2003,268.64511
Estonia,2004,274.58607
Estonia,2005,93.41282
Estonia,2006,281.49571000000003
Estonia,2007,278.81071
Estonia,2008,275.78674
Estonia,2009,273.78982
Estonia,2010,272.85823
Estonia,2011,274.00602000000003
Estonia,2012,273.15643
Estonia,2013,277.39147
Ethiopia,1999,32.71432
Ethiopia,2000,37.10678
Ethiopia,2001,39.26865
Ethiopia,2002,43.85396
Fiji,1999,226.99777
Fiji,2000,216.99487
Fiji,2001,224.49417
Fiji,2002,227.71665000000002
Fiji,2003,229.60629999999998
Fiji,2004,249.9989
Fiji,2006,256.71261
Fiji,2007,244.48901
Fiji,2009,242.18519
Fiji,2011,254.38868
Fiji,2012,250.42368
Finland,1979,254.84415
Finland,1991,279.16042
Finland,1993,284.64606
Finland,1994,284.37764
Finland,1995,277.06038
Finland,1996,277.82488
Finland,1997,279.91378
Finland,1998,292.0213
Finland,1999,283.89517
Finland,2000,283.87786
Finland,2001,283.00365
Finland,2002,283.64616
Finland,2003,285.32394
Finland,2004,285.77822
Finland,2005,287.85463
Finland,2006,289.08206
Finland,2007,288.00629000000004
Finland,2008,285.2964
Finland,2009,282.6181
Finland,2010,280.92309
Finland,2011,278.89427
Finland,2012,276.65683
Finland,2013,281.34188
Finland,2014,282.01281
France,1976,76.17676
France,1977,231.66267
France,1979,232.76119
France,1980,234.3733
France,1981,78.5506
France,1982,236.55451
France,1983,239.23446
France,1985,246.13088
France,1986,247.00375
France,1987,247.27657
France,1988,247.22158000000002
France,1989,248.16757
France,1990,250.21012
France,1992,267.35353
France,1993,270.36413
France,1994,287.62687
France,1995,289.33181
France,1996,286.85741
France,1997,284.78424
France,1999,280.04001
France,2000,277.91379
France,2001,277.43573
France,2002,279.62375
France,2003,281.17833
France,2004,281.58015
France,2005,97.39712
France,2006,97.12352
France,2007,97.0726
France,2008,97.11542
France,2009,96.99224
France,2010,96.82211
France,2011,96.88328
France,2012,98.38231
France,2013,99.26681
France,2014,99.44433
Gambia,1978,24.6286
Gambia,1979,24.88244
Gambia,1983,39.4727
Gambia,1984,43.34873
Gambia,1985,44.10541
Gambia,1986,42.74896
Georgia,1996,229.2558
Georgia,1997,230.57281999999998
Georgia,1999,229.02118000000002
Georgia,2000,231.43615
Georgia,2005,228.47847
Georgia,2006,232.05574000000001
Georgia,2007,81.61676
Georgia,2008,250.10708
Georgia,2009,81.19886
Georgia,2013,266.93015
Georgia,2014,276.15221
Ghana,1999,103.2976
Ghana,2000,103.93718000000001
Ghana,2001,98.95707
Ghana,2002,104.05694
Ghana,2003,107.14205000000001
Ghana,2004,115.82211000000001
Ghana,2005,119.79281
Ghana,2006,123.34832
Ghana,2007,141.34253999999999
Ghana,2008,141.04709
Ghana,2009,136.99586
Ghana,2013,154.23552
Ghana,2014,163.78762
Ghana,2015,173.63497
Greece,1975,183.06182
Greece,1976,190.69539
Greece,1977,195.22958
Greece,1978,199.78719
Greece,1979,201.89537
Greece,1980,218.48686
Greece,1982,227.59611
Greece,1984,231.82841
Greece,1985,237.61052
Greece,1986,242.82459
Greece,1987,251.44994000000003
Greece,1988,252.13155
Greece,1989,254.82554
Greece,1990,83.95327
Greece,1991,251.36968000000002
Greece,1992,251.03841
Greece,1994,245.19734
Greece,1995,82.91809
Greece,1996,250.64623
Greece,1997,250.51842
Greece,1998,249.61616
Greece,1999,247.40516000000002
Greece,2000,245.56062
Greece,2001,249.40694000000002
Greece,2002,255.29275
Greece,2003,252.16221000000002
Greece,2004,256.34712
Greece,2005,266.77114
Greece,2006,266.05327
Greece,2007,259.79176
Greece,2010,282.00828
Greece,2013,286.59915
Grenada,2002,250.97021
Grenada,2003,226.99946
Grenada,2004,241.10552
Grenada,2005,230.61432000000002
Grenada,2013,240.74603
Grenada,2014,247.12667
Guatemala,1975,29.86823
Guatemala,1979,14.0049
Guatemala,1980,12.55408
Guatemala,1982,13.88755
Guatemala,1999,66.91576
Guatemala,2000,76.84327
Guatemala,2001,87.34248
Guatemala,2002,89.24700999999999
Guatemala,2008,116.65951
Guatemala,2009,122.72352000000001
Guatemala,2010,135.51217
Guatemala,2011,136.27655
Guatemala,2012,137.94941
Guatemala,2013,138.73035
Guatemala,2014,140.12229000000002
Guinea,1986,27.07647
Guinea,1989,22.10735
Guinea,1990,20.823439999999998
Guinea,1999,34.279250000000005
Guinea,2001,46.914010000000005
Guinea,2002,52.997479999999996
Guinea,2003,56.83213
Guinea,2004,60.77044
Guinea,2005,69.89628
Guinea,2006,77.48789000000001
Guinea,2011,90.04277
Guinea,2014,95.23249
Guinea-Bissau,1981,7.46995
Guinea-Bissau,1982,9.58483
Guinea-Bissau,1984,9.72893
Guinea-Bissau,2000,24.41682
Guyana,1999,218.8667
Guyana,2009,231.08062999999999
Guyana,2011,247.44069000000002
Holy See,1975,0.0
Holy See,1976,0.0
Holy See,1977,0.0
Holy See,1978,0.0
Holy See,1979,0.0
Holy See,1980,0.0
Holy See,1981,0.0
Holy See,1982,0.0
Holy See,1983,0.0
Holy See,1984,0.0
Holy See,1985,0.0
Holy See,1986,0.0
Holy See,1987,0.0
Holy See,1988,0.0
Holy See,1989,0.0
Holy See,1990,0.0
Holy See,1991,0.0
Holy See,1992,0.0
Holy See,1993,0.0
Holy See,1994,0.0
Holy See,1995,0.0
Holy See,1996,0.0
Holy See,1997,0.0
Holy See,1998,0.0
Holy See,1999,0.0
Holy See,2000,0.0
Holy See,2001,0.0
Holy See,2002,0.0
Holy See,2003,0.0
Holy See,2004,0.0
Holy See,2005,0.0
Holy See,2006,0.0
Holy See,2007,0.0
Holy See,2008,0.0
Holy See,2009,0.0
Holy See,2010,0.0
Holy See,2011,0.0
Holy See,2012,0.0
Holy See,2013,0.0
Holy See,2014,0.0
Holy See,2015,0.0
Honduras,1983,73.36388
Honduras,1991,20.50554
Honduras,2013,145.38156
Honduras,2014,147.88931
Hong Kong Special Administrative Region of China,1975,130.09491
Hong Kong Special Administrative Region of China,1976,137.55072
Hong Kong Special Administrative Region of China,1977,142.92085
Hong Kong Special Administrative Region of China,1978,149.48338999999999
Hong Kong Special Administrative Region of China,1979,158.81087
Hong Kong Special Administrative Region of China,1980,167.16397
Hong Kong Special Administrative Region of China,1981,174.84045
Hong Kong Special Administrative Region of China,1983,190.16021
Hong Kong Special Administrative Region of China,1984,195.70088
Hong Kong Special Administrative Region of China,1985,203.64562
