Country or Area,Subgroup,Year,Source,Unit,Value,Value Footnotes
Belarus,Female,2001,UNESCO_UIS Database_Sep2007,Number,246071,
Belarus,Female,2000,UNESCO_UIS Database_Sep2007,Number,231169,
Belarus,Female,1999,UNESCO_UIS Database_Sep2007,Number,216261,
Belarus,Male,2005,UNESCO_UIS Database_Sep2007,Number,228524,
Belarus,Male,2004,UNESCO_UIS Database_Sep2007,Number,217843,
Belarus,Male,2003,UNESCO_UIS Database_Sep2007,Number,209788,
Belarus,Male,2002,UNESCO_UIS Database_Sep2007,Number,200273,
Belarus,Male,2001,UNESCO_UIS Database_Sep2007,Number,191924,
Belarus,Male,2000,UNESCO_UIS Database_Sep2007,Number,180692,
Belarus,Male,1999,UNESCO_UIS Database_Sep2007,Number,171086,
Belgium,Female,2005,UNESCO_UIS Database_Sep2007,Number,211974,
Belgium,Female,2004,UNESCO_UIS Database_Sep2007,Number,207756,
Belgium,Female,2003,UNESCO_UIS Database_Sep2007,Number,199796,
Belgium,Female,2002,UNESCO_UIS Database_Sep2007,Number,194843,
Belgium,Female,2001,UNESCO_UIS Database_Sep2007,Number,189813,
Belgium,Female,2000,UNESCO_UIS Database_Sep2007,Number,185908,
Belgium,Female,1999,UNESCO_UIS Database_Sep2007,Number,185306,
Belgium,Male,2005,UNESCO_UIS Database_Sep2007,Number,177573,
Belgium,Male,2004,UNESCO_UIS Database_Sep2007,Number,178354,
Belgium,Male,2003,UNESCO_UIS Database_Sep2007,Number,174736,
Belgium,Male,2002,UNESCO_UIS Database_Sep2007,Number,172139,
Belgium,Male,2001,UNESCO_UIS Database_Sep2007,Number,169452,
Belgium,Male,2000,UNESCO_UIS Database_Sep2007,Number,169840,
Belgium,Male,1999,UNESCO_UIS Database_Sep2007,Number,166482,
Belize,Female,2004,UNESCO_UIS Database_Sep2007,Number,507,
Belize,Female,2003,UNESCO_UIS Database_Sep2007,Number,342,2
Belize,Male,2004,UNESCO_UIS Database_Sep2007,Number,215,
Belize,Male,2003,UNESCO_UIS Database_Sep2007,Number,185,3
Benin,Female,2001,UNESCO_UIS Database_Sep2007,Number,3920,1
Benin,Female,2000,UNESCO_UIS Database_Sep2007,Number,3719,
Benin,Female,1999,UNESCO_UIS Database_Sep2007,Number,3346,
Benin,Male,2001,UNESCO_UIS Database_Sep2007,Number,15838,
Benin,Male,2000,UNESCO_UIS Database_Sep2007,Number,15034,
Benin,Male,1999,UNESCO_UIS Database_Sep2007,Number,12938,
Bermuda,Female,2002,UNESCO_UIS Database_Sep2007,Number,1080,1
Bermuda,Female,2001,UNESCO_UIS Database_Sep2007,Number,1068,
Bermuda,Male,2002,UNESCO_UIS Database_Sep2007,Number,880,
Bermuda,Male,2001,UNESCO_UIS Database_Sep2007,Number,874,
Bhutan,Female,2001,UNESCO_UIS Database_Sep2007,Number,639,1
Bhutan,Female,2000,UNESCO_UIS Database_Sep2007,Number,620,1
Bhutan,Female,1999,UNESCO_UIS Database_Sep2007,Number,539,1
Bhutan,Male,2001,UNESCO_UIS Database_Sep2007,Number,1254,
Bhutan,Male,2000,UNESCO_UIS Database_Sep2007,Number,1217,
Bhutan,Male,1999,UNESCO_UIS Database_Sep2007,Number,940,
Botswana,Female,2005,UNESCO_UIS Database_Sep2007,Number,5449,
Botswana,Female,2004,UNESCO_UIS Database_Sep2007,Number,4735,
Botswana,Female,2002,UNESCO_UIS Database_Sep2007,Number,3754,
